"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @BMOC98: #obama #foley #isis http://t.co/MRkXdm3Vqe",FALSE,0,NA,2014-10-11 16:13:10,FALSE,NA,"520970373286727680",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","chris63414391",15,TRUE,FALSE,NA,NA
"RT @GenBoykin: If you want to see today's #5PointPlan on #ISIS all in one place, you can see it collected on my Facebook page: http://t.co/…",FALSE,0,NA,2014-10-11 16:13:10,FALSE,NA,"520970373114781696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Otneib",45,TRUE,FALSE,NA,NA
"RT @SaeedGhassemine: If #ISIS can last for 4-5 years then many experts &amp; diplomats  will say  the only solution is to engage in diplomacy w…",FALSE,0,NA,2014-10-11 16:13:09,FALSE,NA,"520970368367206402",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shamimb1y",23,TRUE,FALSE,NA,NA
"@BintWater
-
!KILL #ISIS! @ibn_shaam @ibn0mar
#Kobani
#ISIL #KillIS #KillIslamicState
#IslamicState
-
http://t.co/4TQ18EQcqt",FALSE,0,"BintWater",2014-10-11 16:13:09,FALSE,NA,"520970366659747840","2801362930","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","AttUkraine",0,FALSE,FALSE,NA,NA
"RT @salar_dd: مباشر #كوباني
#YPG تقول متعو انظار انصارنا بجثث خنازير #داعش في شوارع #Kobane
Kurds kill 30 #ISIS today in #Kobanî http://t.c…",FALSE,0,NA,2014-10-11 16:13:07,FALSE,NA,"520970361366908928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1Kiss2and3tell",10,TRUE,FALSE,NA,NA
"RT @turdeau: Real leadership is making a decision for political gain instead of the obvious one good vs evil. #isis #cdnpoli",FALSE,0,NA,2014-10-11 16:13:07,FALSE,NA,"520970360426995712",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Wetaskijen",18,TRUE,FALSE,NA,NA
"Are they are friends/allies? If so, then yes! @UmaPemmaraju @ANHQDC #ISIS",FALSE,0,NA,2014-10-11 16:13:07,FALSE,NA,"520970360272220160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThomasYongo",0,FALSE,FALSE,NA,NA
"Not really appropriate though this is it @marksable #isis #jihadi http://t.co/pO2oUNP5BA",FALSE,0,NA,2014-10-11 16:13:04,FALSE,NA,"520970348033224704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KateGroxx",0,FALSE,FALSE,NA,NA
"RT @grammy620: Your candidate should represent YOU, not Obama #LAsen #KYsen #IAsen #NCsen #COsen #WaronCoal #ISIS #SDsen #MNsen #Charlotte …",FALSE,0,NA,2014-10-11 16:13:03,FALSE,NA,"520970341632708608",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dlb5503",4,TRUE,FALSE,NA,NA
"RT @turdeau: Like all great French leaders before me, my only military plan is to surrender. #cdnpoli #ISIS",FALSE,0,NA,2014-10-11 16:13:02,FALSE,NA,"520970339489435649",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Justluvly101",26,TRUE,FALSE,NA,NA
"Los patrones de los periodistas de los videos del #ISIS vendieron al mundo a los románticos ""rebeldes sirios"" por 3 años. Sangre negociada.",FALSE,0,NA,2014-10-11 16:13:01,FALSE,NA,"520970335920070656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CheGenetic",0,FALSE,FALSE,NA,NA
"RT @RikDelhaas: #Kurds with their small arms in #Kobane show #ISIS can be stopped, if only big powers step in would be easy.",FALSE,0,NA,2014-10-11 16:12:59,FALSE,NA,"520970326906503169",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","groggydice",1,TRUE,FALSE,NA,NA
"RT @Protocanibal: #ISIS hace el trabajo sucio de las democracias liberales asesinando el movimiento popular del #Kurdistan, la libertad res…",FALSE,0,NA,2014-10-11 16:12:59,FALSE,NA,"520970326436761600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dervisdemirtas",1,TRUE,FALSE,NA,NA
"RT @Missy10013Kathy: “@BloombergNews As Teen I am fighting #isis in #Kobane,my msg They got tank we got nothing please send us Anti tank ht…",FALSE,0,NA,2014-10-11 16:12:59,FALSE,NA,"520970324834136065",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KathyGoodGirl",53,TRUE,FALSE,NA,NA
"“@WNEW: Twitter CEO: #ISIS militants have threatened him, employees in response to shutting down group’s accounts. http://t.co/UBhwABoZ1z”",FALSE,0,"WNEW",2014-10-11 16:12:58,FALSE,"520969912508895233","520970320388562945","415851069","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WLKYAnnalysa",0,FALSE,FALSE,NA,NA
"RT @SassafrasStarr: Austrian teens who joined #ISIS are now pregnant and want to come home. Welcome to #fucktardia http://t.co/PZ7JTBTXmx h…",FALSE,0,NA,2014-10-11 16:12:57,FALSE,NA,"520970315334443008",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","irshroz",24,TRUE,FALSE,NA,NA
"RT @i_magpie: UN envoy wants #Turkey to allow racist #PKK terrorists to go to #Syria to fight #ISIS terrorists. Say no more!",FALSE,0,NA,2014-10-11 16:12:55,FALSE,NA,"520970306832183297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dgbhutta",8,TRUE,FALSE,NA,NA
"RT @Baka_62: Isis in Kobani: Militants encircle Kurdish fighters as hundreds of civilians remain trapped
http://t.co/gHHRIO1lMf
#ISIS #Koba…",FALSE,0,NA,2014-10-11 16:12:52,FALSE,NA,"520970296824967168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dervisdemirtas",1,TRUE,FALSE,NA,NA
"RT @FSATruth: Syria doesn’t matter to the United States: https://t.co/rb7IYPwy0F @michaeldweiss #Syria #ISIS #Kobani #IS",FALSE,0,NA,2014-10-11 16:12:52,FALSE,NA,"520970296090976256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ManchurianDevil",3,TRUE,FALSE,NA,NA
